Order ID,Product,Quantity Ordered,Price Each,Total Price,Purchase Address,Order Date,time,Street,City,State,Zip code
176558,USB-C Charging Cable,2,11.95,23.9,"917 1st St, Dallas, TX 75001",4/19/2019,8:46:00 AM,917 1st St, Dallas,TX,75001
176559,Bose SoundSport Headphones,1,99.99,99.99,"682 Chestnut St, Boston, MA 02215",4/7/2019,10:30:00 PM,682 Chestnut St, Boston,MA,2215
176560,Google Phone,1,600,600,"669 Spruce St, Los Angeles, CA 90001",4/12/2019,2:38:00 PM,669 Spruce St, Los Angeles,CA,90001
176560,Wired Headphones,1,11.99,11.99,"669 Spruce St, Los Angeles, CA 90001",4/12/2019,2:38:00 PM,669 Spruce St, Los Angeles,CA,90001
176561,Wired Headphones,1,11.99,11.99,"333 8th St, Los Angeles, CA 90001",4/30/2019,9:27:00 AM,333 8th St, Los Angeles,CA,90001
176562,USB-C Charging Cable,1,11.95,11.95,"381 Wilson St, San Francisco, CA 94016",4/29/2019,1:03:00 PM,381 Wilson St, San Francisco,CA,94016
176563,Bose SoundSport Headphones,1,99.99,99.99,"668 Center St, Seattle, WA 98101",4/2/2019,7:46:00 AM,668 Center St, Seattle,WA,98101
176564,USB-C Charging Cable,1,11.95,11.95,"790 Ridge St, Atlanta, GA 30301",4/12/2019,10:58:00 AM,790 Ridge St, Atlanta,GA,30301
176565,Macbook Pro Laptop,1,1700,1700,"915 Willow St, San Francisco, CA 94016",4/24/2019,10:38:00 AM,915 Willow St, San Francisco,CA,94016
176566,Wired Headphones,1,11.99,11.99,"83 7th St, Boston, MA 02215",4/8/2019,2:05:00 PM,83 7th St, Boston,MA,2215
176567,Google Phone,1,600,600,"444 7th St, Los Angeles, CA 90001",4/18/2019,5:18:00 PM,444 7th St, Los Angeles,CA,90001
176568,Lightning Charging Cable,1,14.95,14.95,"438 Elm St, Seattle, WA 98101",4/15/2019,12:18:00 PM,438 Elm St, Seattle,WA,98101
176569,27in 4K Gaming Monitor,1,389.99,389.99,"657 Hill St, Dallas, TX 75001",4/16/2019,7:23:00 PM,657 Hill St, Dallas,TX,75001
176570,AA Batteries (4-pack),1,3.84,3.84,"186 12th St, Dallas, TX 75001",4/22/2019,3:09:00 PM,186 12th St, Dallas,TX,75001
176571,Lightning Charging Cable,1,14.95,14.95,"253 Johnson St, Atlanta, GA 30301",4/19/2019,2:29:00 PM,253 Johnson St, Atlanta,GA,30301
176572,Apple Airpods Headphones,1,150,150,"149 Dogwood St, New York City, NY 10001",4/4/2019,8:30:00 PM,149 Dogwood St, New York City,NY,10001
176573,USB-C Charging Cable,1,11.95,11.95,"214 Chestnut St, San Francisco, CA 94016",4/27/2019,6:41:00 PM,214 Chestnut St, San Francisco,CA,94016
176574,Google Phone,1,600,600,"20 Hill St, Los Angeles, CA 90001",4/3/2019,7:42:00 PM,20 Hill St, Los Angeles,CA,90001
176574,USB-C Charging Cable,1,11.95,11.95,"20 Hill St, Los Angeles, CA 90001",4/3/2019,7:42:00 PM,20 Hill St, Los Angeles,CA,90001
176575,AAA Batteries (4-pack),1,2.99,2.99,"433 Hill St, New York City, NY 10001",4/27/2019,12:30:00 AM,433 Hill St, New York City,NY,10001
176576,Apple Airpods Headphones,1,150,150,"771 Ridge St, Los Angeles, CA 90001",4/28/2019,11:42:00 AM,771 Ridge St, Los Angeles,CA,90001
176577,Apple Airpods Headphones,1,150,150,"260 Spruce St, Dallas, TX 75001",4/4/2019,7:25:00 PM,260 Spruce St, Dallas,TX,75001
176578,Apple Airpods Headphones,1,150,150,"513 Church St, Boston, MA 02215",4/9/2019,11:35:00 PM,513 Church St, Boston,MA,2215
176579,AA Batteries (4-pack),1,3.84,3.84,"886 Jefferson St, New York City, NY 10001",4/11/2019,10:23:00 AM,886 Jefferson St, New York City,NY,10001
176580,USB-C Charging Cable,1,11.95,11.95,"886 Willow St, Los Angeles, CA 90001",4/5/2019,12:35:00 AM,886 Willow St, Los Angeles,CA,90001
176581,iPhone,1,700,700,"84 Jackson St, Boston, MA 02215",4/9/2019,9:38:00 PM,84 Jackson St, Boston,MA,2215
176582,Bose SoundSport Headphones,1,99.99,99.99,"178 Lincoln St, Atlanta, GA 30301",4/27/2019,12:20:00 PM,178 Lincoln St, Atlanta,GA,30301
176583,AAA Batteries (4-pack),2,2.99,5.98,"146 Jackson St, Portland, OR 97035",4/20/2019,12:00:00 PM,146 Jackson St, Portland,OR,97035
176584,Flatscreen TV,1,300,300,"936 Church St, San Francisco, CA 94016",4/24/2019,8:39:00 PM,936 Church St, San Francisco,CA,94016
176585,Bose SoundSport Headphones,1,99.99,99.99,"823 Highland St, Boston, MA 02215",4/7/2019,11:31:00 AM,823 Highland St, Boston,MA,2215
176585,Bose SoundSport Headphones,1,99.99,99.99,"823 Highland St, Boston, MA 02215",4/7/2019,11:31:00 AM,823 Highland St, Boston,MA,2215
176586,AAA Batteries (4-pack),2,2.99,5.98,"365 Center St, San Francisco, CA 94016",4/10/2019,5:00:00 PM,365 Center St, San Francisco,CA,94016
176586,Google Phone,1,600,600,"365 Center St, San Francisco, CA 94016",4/10/2019,5:00:00 PM,365 Center St, San Francisco,CA,94016
176587,27in FHD Monitor,1,149.99,149.99,"557 5th St, Los Angeles, CA 90001",4/29/2019,7:38:00 PM,557 5th St, Los Angeles,CA,90001
